Name,Age,Occupation,PAN_Card,Aadhar_Card,Bank_Account_No,Marital_Status,Children (Yes/No),Reported_Income,Interest_Income,Business_Income,Capital_Gains,Other_Income,Educational_Expenses,Healthcare_Costs,Lifestyle_Expenditure,Other_Expenses,Bank_Debited,Credit_Card_Debited,Actual_Income
Name2333,35,Business,PAN2333X,Aadhar2333,BankAcc2333,Married,Yes,564586,56459,112917,0,84688,45167,39521,67750,56459,28229,16938,676798
Name2334,46,Salaried,PAN2334X,Aadhar2334,BankAcc2334,Married,Yes,827238,,165448,41362,0,66179,57907,99269,82724,41362,24817,939450
Name2335,39,Business,PAN2335X,Aadhar2335,BankAcc2335,Married,No,1776400,177640,355280,88820,266460,142112,124348,213168,177640,88820,53292,1888612
Name2336,79,Self-employed,PAN2336X,Aadhar2336,BankAcc2336,Single,Yes,1564930,0,312986,78246,234740,125194,109545,187792,0,78246,46948,1677142
Name2337,100,Business,PAN2337X,Aadhar2337,BankAcc2337,Single,Yes,698396,69840,139679,34920,0,55872,48888,83808,69840,34920,20952,810608
Name2338,73,Self-employed,PAN2338X,Aadhar2338,BankAcc2338,Married,No,1748378,174838,0,87419,262257,139870,122386,209805,174838,87419,52451,1860590
Name2339,47,Business,PAN2339X,Aadhar2339,BankAcc2339,Married,Yes,86071,8607,0,0,12911,6886,6025,10329,8607,0,2582,198283
Name2340,26,Self-employed,PAN2340X,Aadhar2340,BankAcc2340,Single,Yes,567695,56770,0,28385,0,45416,39739,0,56770,28385,17031,679907
Name2341,30,Self-employed,PAN2341X,Aadhar2341,BankAcc2341,Married,Yes,618269,61827,123654,30913,92740,0,0,0,61827,30913,18548,730481
Name2342,96,Salaried,PAN2342X,Aadhar2342,BankAcc2342,Married,Yes,333674,33367,66735,16684,50051,26694,23357,40041,0,16684,10010,445886
Name2343,46,Salaried,PAN2343X,Aadhar2343,BankAcc2343,Married,No,1054496,0,210899,52725,0,84360,73815,126540,105450,52725,31635,1166708
Name2344,66,Business,PAN2344X,Aadhar2344,BankAcc2344,Married,Yes,216236,21624,0,10812,32435,0,15137,25948,21624,10812,6487,328448
Name2345,85,Salaried,PAN2345X,Aadhar2345,BankAcc2345,Single,No,101540,10154,0,5077,0,8123,7108,12185,0,5077,3046,213752
Name2346,36,Salaried,PAN2346X,Aadhar2346,BankAcc2346,Married,No,463242,46324,92648,0,69486,37059,0,0,46324,23162,13897,575454
Name2347,81,Business,PAN2347X,Aadhar2347,BankAcc2347,Married,No,872044,87204,174409,43602,130807,69764,0,104645,87204,43602,26161,984256
Name2348,24,Self-employed,PAN2348X,Aadhar2348,BankAcc2348,Single,No,1505183,0,301037,75259,0,0,105363,180622,150518,75259,0,1617395
Name2349,52,Self-employed,PAN2349X,Aadhar2349,BankAcc2349,Married,Yes,1123234,112323,224647,0,168485,89859,0,134788,0,56162,33697,1235446
Name2350,96,Business,PAN2350X,Aadhar2350,BankAcc2350,Married,No,5366016,134150,0,67075,201226,0,93905,0,0,67075,40245,5478228
Name2351,41,Self-employed,PAN2351X,Aadhar2351,BankAcc2351,Married,Yes,466487,46649,0,23324,69973,37319,32654,55978,46649,23324,13995,578699
Name2352,83,Business,PAN2352X,Aadhar2352,BankAcc2352,Single,No,299795,29980,59959,14990,44969,23984,20986,35975,29980,14990,8994,412007
Name2353,30,Business,PAN2353X,Aadhar2353,BankAcc2353,Married,No,769983,76998,153997,0,115497,61599,53899,92398,76998,38499,23099,882195
Name2354,39,Salaried,PAN2354X,Aadhar2354,BankAcc2354,Single,No,1681039,168104,336208,0,252156,134483,117673,0,0,84052,50431,1793251
Name2355,35,Self-employed,PAN2355X,Aadhar2355,BankAcc2355,Single,Yes,1764700,176470,352940,88235,264705,141176,123529,211764,0,88235,52941,1876912
Name2356,69,Self-employed,PAN2356X,Aadhar2356,BankAcc2356,Single,Yes,463654,0,92731,23183,69548,37092,32456,55638,46365,23183,13910,575866
Name2357,66,Self-employed,PAN2357X,Aadhar2357,BankAcc2357,Single,Yes,42586,4259,8517,0,0,3407,2981,5110,4259,2129,1278,154798
Name2358,49,Self-employed,PAN2358X,Aadhar2358,BankAcc2358,Single,No,1871293,187129,374259,0,280694,149703,130991,224555,187129,93565,56139,1983505
Name2359,78,Salaried,PAN2359X,Aadhar2359,BankAcc2359,Single,Yes,911608,91161,0,0,0,0,63813,0,91161,45580,27348,1023820
Name2360,46,Business,PAN2360X,Aadhar2360,BankAcc2360,Married,No,701518,70152,0,0,105228,56121,49106,84182,70152,35076,21046,813730
Name2361,28,Salaried,PAN2361X,Aadhar2361,BankAcc2361,Married,No,289596,28960,57919,14480,0,23168,20272,34752,28960,14480,8688,401808
Name2362,63,Salaried,PAN2362X,Aadhar2362,BankAcc2362,Single,No,833880,83388,0,0,125082,66710,0,100066,83388,0,25016,946092
Name2363,31,Business,PAN2363X,Aadhar2363,BankAcc2363,Single,Yes,1178839,117884,235768,58942,176826,94307,82519,141461,117884,58942,35365,1291051
Name2364,74,Business,PAN2364X,Aadhar2364,BankAcc2364,Single,Yes,250299,25030,0,12515,37545,0,17521,30036,25030,12515,7509,362511
Name2365,49,Salaried,PAN2365X,Aadhar2365,BankAcc2365,Single,Yes,1492718,,298544,74636,223908,119417,104490,179126,149272,74636,44782,1604930
Name2366,76,Self-employed,PAN2366X,Aadhar2366,BankAcc2366,Single,No,728085,72808,0,0,109213,0,50966,87370,0,36404,21843,840297
Name2367,50,Self-employed,PAN2367X,Aadhar2367,BankAcc2367,Married,No,864131,86413,0,0,129620,69130,0,103696,0,43207,25924,976343
Name2368,79,Business,PAN2368X,Aadhar2368,BankAcc2368,Married,No,1139531,0,227906,56977,170930,91162,0,136744,113953,56977,34186,1251743
Name2369,78,Business,PAN2369X,Aadhar2369,BankAcc2369,Married,No,1006798,100680,0,50340,0,80544,70476,0,100680,50340,0,1119010
Name2370,84,Salaried,PAN2370X,Aadhar2370,BankAcc2370,Single,Yes,548687,54869,109737,0,82303,43895,38408,65842,54869,27434,16461,660899
Name2371,100,Self-employed,PAN2371X,Aadhar2371,BankAcc2371,Married,Yes,1614200,161420,322840,0,0,129136,112994,0,0,80710,48426,1726412
Name2372,44,Business,PAN2372X,Aadhar2372,BankAcc2372,Single,No,928578,92858,0,46429,139287,74286,65000,111429,0,46429,27857,1040790
Name2373,83,Salaried,PAN2373X,Aadhar2373,BankAcc2373,Married,No,759174,75917,151835,37959,113876,60734,53142,91101,0,37959,22775,871386
Name2374,50,Salaried,PAN2374X,Aadhar2374,BankAcc2374,Single,No,174993,17499,34999,8750,26249,13999,12250,20999,17499,8750,5250,287205
Name2375,38,Salaried,PAN2375X,Aadhar2375,BankAcc2375,Married,Yes,932092,93209,186418,46605,139814,0,65246,111851,93209,46605,27963,1044304
Name2376,94,Self-employed,PAN2376X,Aadhar2376,BankAcc2376,Single,Yes,95731,0,19146,4787,14360,7658,6701,11488,9573,4787,2872,207943
Name2377,64,Salaried,PAN2377X,Aadhar2377,BankAcc2377,Married,No,1448184,144818,289637,72409,,0,101373,173782,144818,72409,43446,1560396
Name2378,42,Business,PAN2378X,Aadhar2378,BankAcc2378,Married,Yes,1517441,0,303488,75872,227616,121395,106221,182093,0,75872,45523,1629653
Name2379,71,Salaried,PAN2379X,Aadhar2379,BankAcc2379,Married,Yes,1756519,0,0,87826,263478,140522,122956,210782,0,87826,52696,1868731
Name2380,54,Business,PAN2380X,Aadhar2380,BankAcc2380,Married,Yes,1579246,157925,315849,78962,236887,126340,110547,189510,157925,78962,0,1691458
Name2381,24,Business,PAN2381X,Aadhar2381,BankAcc2381,Married,Yes,1808181,180818,0,0,0,144654,126573,216982,180818,0,54245,1920393
Name2382,25,Self-employed,PAN2382X,Aadhar2382,BankAcc2382,Married,No,617653,61765,0,0,92648,49412,43236,74118,61765,0,18530,729865
Name2383,25,Self-employed,PAN2383X,Aadhar2383,BankAcc2383,Married,Yes,1009888,100989,0,50494,151483,80791,0,121187,100989,50494,30297,1122100
Name2384,86,Business,PAN2384X,Aadhar2384,BankAcc2384,Single,No,515384,51538,103077,0,77308,41231,36077,61846,0,25769,15462,627596
Name2385,65,Self-employed,PAN2385X,Aadhar2385,BankAcc2385,Married,Yes,1664823,166482,332965,0,249723,0,116538,0,166482,83241,49945,1777035
Name2386,35,Business,PAN2386X,Aadhar2386,BankAcc2386,Married,No,1586322,0,0,79316,237948,126906,0,0,158632,79316,47590,1698534
Name2387,95,Business,PAN2387X,Aadhar2387,BankAcc2387,Single,No,495550,49555,99110,0,74332,39644,34688,59466,49555,24778,14866,607762
Name2388,45,Business,PAN2388X,Aadhar2388,BankAcc2388,Married,No,1498794,149879,299759,74940,224819,119904,104916,0,0,74940,44964,1611006
Name2389,100,Salaried,PAN2389X,Aadhar2389,BankAcc2389,Single,Yes,915396,0,183079,45770,137309,73232,64078,0,91540,45770,27462,1027608
Name2390,85,Business,PAN2390X,Aadhar2390,BankAcc2390,Single,No,697615,0,0,0,0,55809,48833,83714,69762,34881,20928,809827
Name2391,81,Self-employed,PAN2391X,Aadhar2391,BankAcc2391,Married,Yes,1644571,164457,328914,0,246686,0,115120,197349,164457,82229,49337,1756783
Name2392,80,Business,PAN2392X,Aadhar2392,BankAcc2392,Single,No,337387,0,67477,0,50608,26991,23617,40486,33739,16869,10122,449599
Name2393,95,Self-employed,PAN2393X,Aadhar2393,BankAcc2393,Married,Yes,694493,69449,138899,0,104174,55559,0,83339,69449,34725,20835,806705
Name2394,60,Salaried,PAN2394X,Aadhar2394,BankAcc2394,Single,Yes,617387,61739,123477,0,92608,49391,43217,74086,61739,30869,0,729599
Name2395,65,Salaried,PAN2395X,Aadhar2395,BankAcc2395,Married,Yes,840449,84045,168090,42022,126067,67236,58831,100854,0,42022,25213,952661
Name2396,100,Self-employed,PAN2396X,Aadhar2396,BankAcc2396,Single,No,54663,5466,10933,2733,8199,0,3826,6560,5466,2733,1640,166875
Name2397,93,Business,PAN2397X,Aadhar2397,BankAcc2397,Single,Yes,26838,2684,5368,0,0,2147,1879,3221,0,1342,805,139050
Name2398,82,Business,PAN2398X,Aadhar2398,BankAcc2398,Married,Yes,1114992,111499,222998,0,0,89199,0,133799,0,55750,33450,1227204
Name2399,96,Business,PAN2399X,Aadhar2399,BankAcc2399,Married,No,1068579,106858,0,53429,160287,85486,74801,128229,106858,53429,32057,1180791
Name2400,54,Salaried,PAN2400X,Aadhar2400,BankAcc2400,Married,Yes,195590,19559,0,,29338,15647,13691,0,0,9780,5868,307802
Name2401,26,Salaried,PAN2401X,Aadhar2401,BankAcc2401,Married,No,1545630,0,309126,0,231844,123650,108194,0,0,77282,46369,1657842
Name2402,36,Business,PAN2402X,Aadhar2402,BankAcc2402,Single,No,682010,68201,136402,34100,0,54561,0,0,68201,34100,20460,794222
Name2403,58,Business,PAN2403X,Aadhar2403,BankAcc2403,Single,No,678044,67804,135609,0,0,0,47463,81365,0,33902,20341,790256
Name2404,21,Business,PAN2404X,Aadhar2404,BankAcc2404,Married,Yes,1557315,0,0,0,233597,124585,109012,186878,155732,77866,46719,1669527
Name2405,62,Salaried,PAN2405X,Aadhar2405,BankAcc2405,Married,No,442778,44278,0,22139,66417,0,0,0,0,22139,13283,554990
Name2406,70,Salaried,PAN2406X,Aadhar2406,BankAcc2406,Single,No,876119,87612,175224,43806,131418,70090,61328,0,87612,43806,26284,988331
Name2407,100,Business,PAN2407X,Aadhar2407,BankAcc2407,Single,No,751925,75192,150385,37596,112789,60154,52635,90231,0,37596,22558,864137
Name2408,30,Self-employed,PAN2408X,Aadhar2408,BankAcc2408,Married,No,634264,63426,0,0,95140,0,44398,76112,63426,31713,19028,746476
Name2409,35,Self-employed,PAN2409X,Aadhar2409,BankAcc2409,Married,No,460801,46080,0,0,69120,36864,0,55296,46080,23040,13824,573013
Name2410,22,Business,PAN2410X,Aadhar2410,BankAcc2410,Single,No,1305862,0,261172,65293,0,104469,0,0,130586,65293,39176,1418074
Name2411,83,Salaried,PAN2411X,Aadhar2411,BankAcc2411,Single,No,1492606,149261,298521,74630,223891,119408,104482,179113,149261,0,44778,1604818
Name2412,34,Self-employed,PAN2412X,Aadhar2412,BankAcc2412,Married,Yes,1617065,161706,323413,0,242560,129365,0,194048,0,80853,48512,1729277
Name2413,55,Self-employed,PAN2413X,Aadhar2413,BankAcc2413,Married,No,1308046,130805,261609,0,196207,104644,91563,156966,,0,39241,1420258
Name2414,37,Salaried,PAN2414X,Aadhar2414,BankAcc2414,Married,Yes,1757398,175740,351480,0,263610,140592,123018,210888,175740,87870,52722,1869610
Name2415,55,Business,PAN2415X,Aadhar2415,BankAcc2415,Single,No,419916,41992,83983,20996,62987,33593,29394,50390,0,20996,12597,532128
Name2416,23,Salaried,PAN2416X,Aadhar2416,BankAcc2416,Single,Yes,1773489,177349,354698,88674,266023,0,0,212819,177349,0,53205,1885701
Name2417,96,Self-employed,PAN2417X,Aadhar2417,BankAcc2417,Married,No,273522,0,54704,0,41028,21882,19147,32823,27352,13676,8206,385734
Name2418,28,Business,PAN2418X,Aadhar2418,BankAcc2418,Married,No,112550,11255,0,0,0,9004,7879,0,11255,5628,3376,224762
Name2419,31,Business,PAN2419X,Aadhar2419,BankAcc2419,Married,No,1526271,152627,0,76314,228941,122102,106839,0,0,76314,45788,1638483
Name2420,91,Self-employed,PAN2420X,Aadhar2420,BankAcc2420,Single,No,607874,0,121575,0,0,48630,0,,60787,30394,18236,720086
Name2421,48,Business,PAN2421X,Aadhar2421,BankAcc2421,Married,No,303332,30333,60666,0,45500,24267,21233,36400,30333,0,9100,415544
Name2422,23,Business,PAN2422X,Aadhar2422,BankAcc2422,Single,No,1731255,173126,346251,86563,0,0,0,207751,173126,0,51938,1843467
Name2423,50,Self-employed,PAN2423X,Aadhar2423,BankAcc2423,Single,No,1174779,0,0,58739,176217,93982,82235,140973,0,58739,35243,1286991
Name2424,63,Self-employed,PAN2424X,Aadhar2424,BankAcc2424,Single,Yes,1099154,109915,0,54958,164873,0,0,0,109915,54958,32975,1211366
Name2425,95,Business,PAN2425X,Aadhar2425,BankAcc2425,Single,Yes,618520,61852,0,30926,0,49482,43296,0,61852,30926,18556,730732
Name2426,100,Self-employed,PAN2426X,Aadhar2426,BankAcc2426,Married,Yes,1857477,185748,0,0,278622,148598,130023,222897,0,92874,55724,1969689
Name2427,64,Business,PAN2427X,Aadhar2427,BankAcc2427,Married,Yes,63787,6379,12757,3189,9568,5103,4465,7654,6379,0,1914,175999
Name2428,81,Self-employed,PAN2428X,Aadhar2428,BankAcc2428,Married,Yes,1254052,125405,250810,62703,188108,100324,87784,150486,125405,62703,37622,1366264
Name2429,41,Self-employed,PAN2429X,Aadhar2429,BankAcc2429,Single,No,745721,74572,149144,37286,111858,0,0,89487,0,37286,22372,857933
Name2430,63,Business,PAN2430X,Aadhar2430,BankAcc2430,Married,Yes,1935170,0,387034,0,290276,154814,135462,232220,193517,96758,58055,2047382
Name2431,69,Business,PAN2431X,Aadhar2431,BankAcc2431,Married,Yes,415118,41512,83024,0,62268,0,0,49814,41512,20756,12454,527330
Name2432,27,Business,PAN2432X,Aadhar2432,BankAcc2432,Married,No,1876877,187688,375375,0,281532,150150,131381,225225,187688,93844,56306,1989089
Name2433,68,Self-employed,PAN2433X,Aadhar2433,BankAcc2433,Single,No,1018433,0,203687,50922,152765,81475,71290,122212,101843,50922,30553,1130645
Name2434,37,Self-employed,PAN2434X,Aadhar2434,BankAcc2434,Single,Yes,923874,92387,184775,46194,138581,73910,64671,110865,0,46194,27716,1036086
Name2435,56,Business,PAN2435X,Aadhar2435,BankAcc2435,Single,No,1148941,114894,229788,0,172341,91915,80426,137873,0,57447,34468,1261153
Name2436,56,Business,PAN2436X,Aadhar2436,BankAcc2436,Married,No,1589266,158927,317853,79463,238390,127141,111249,0,158927,79463,47678,1701478
Name2437,35,Self-employed,PAN2437X,Aadhar2437,BankAcc2437,Single,Yes,232278,23228,46456,0,34842,18582,16259,27873,23228,11614,6968,344490
Name2438,47,Self-employed,PAN2438X,Aadhar2438,BankAcc2438,Single,No,1209295,120930,0,0,181394,96744,84651,145115,120930,60465,0,1321507
Name2439,96,Business,PAN2439X,Aadhar2439,BankAcc2439,Married,No,1397593,139759,279519,0,209639,111807,97832,167711,0,69880,41928,1509805
Name2440,54,Salaried,PAN2440X,Aadhar2440,BankAcc2440,Married,Yes,708554,0,0,0,106283,56684,49599,85026,70855,35428,21257,820766
Name2441,35,Business,PAN2441X,Aadhar2441,BankAcc2441,Married,Yes,475163,47516,95033,0,,38013,0,0,47516,0,14255,587375
Name2442,36,Salaried,PAN2442X,Aadhar2442,BankAcc2442,Single,No,1273507,0,0,0,191026,101881,89145,0,0,63675,38205,1385719
Name2443,26,Self-employed,PAN2443X,Aadhar2443,BankAcc2443,Single,Yes,1234732,123473,246946,61737,0,98779,86431,148168,123473,61737,37042,1346944
Name2444,57,Self-employed,PAN2444X,Aadhar2444,BankAcc2444,Single,No,1150638,115064,230128,0,172596,0,80545,0,115064,57532,34519,1262850
Name2445,36,Salaried,PAN2445X,Aadhar2445,BankAcc2445,Married,Yes,1483904,148390,296781,0,0,118712,103873,178068,148390,74195,44517,1596116
Name2446,22,Self-employed,PAN2446X,Aadhar2446,BankAcc2446,Married,Yes,955919,95592,0,0,143388,0,66914,0,95592,47796,28678,1068131
Name2447,28,Business,PAN2447X,Aadhar2447,BankAcc2447,Single,No,1733323,173332,346665,86666,259998,138666,121333,207999,173332,86666,52000,1845535
Name2448,27,Salaried,PAN2448X,Aadhar2448,BankAcc2448,Single,No,538781,53878,107756,0,80817,0,37715,64654,53878,26939,16163,650993
Name2449,59,Self-employed,PAN2449X,Aadhar2449,BankAcc2449,Married,No,1322189,132219,264438,66109,198328,105775,92553,158663,132219,66109,39666,1434401
Name2450,27,Salaried,PAN2450X,Aadhar2450,BankAcc2450,Single,Yes,1432122,143212,0,71606,214818,114570,100249,171855,0,71606,42964,1544334
Name2451,27,Business,PAN2451X,Aadhar2451,BankAcc2451,Single,No,893538,89354,178708,44677,0,0,0,107225,89354,44677,26806,1005750
Name2452,64,Business,PAN2452X,Aadhar2452,BankAcc2452,Single,No,1209187,0,241837,0,181378,96735,84643,145102,0,60459,36276,1321399
Name2453,36,Business,PAN2453X,Aadhar2453,BankAcc2453,Married,No,1855210,185521,371042,0,278282,148417,129865,0,185521,92760,55656,1967422
Name2454,98,Self-employed,PAN2454X,Aadhar2454,BankAcc2454,Married,No,37947,3795,7589,0,0,0,2656,4554,3795,0,1138,150159
Name2455,83,Salaried,PAN2455X,Aadhar2455,BankAcc2455,Single,Yes,1414918,0,282984,70746,212238,0,,169790,141492,70746,0,1527130
Name2456,66,Business,PAN2456X,Aadhar2456,BankAcc2456,Married,No,1320556,,264111,66028,198083,0,92439,158467,132056,66028,39617,1432768
Name2457,49,Salaried,PAN2457X,Aadhar2457,BankAcc2457,Single,Yes,1822841,182284,364568,91142,273426,145827,0,218741,0,91142,54685,1935053
Name2458,23,Salaried,PAN2458X,Aadhar2458,BankAcc2458,Married,No,737220,73722,147444,36861,110583,58978,51605,88466,73722,36861,22117,849432
Name2459,58,Business,PAN2459X,Aadhar2459,BankAcc2459,Married,No,511062,51106,0,0,76659,40885,35774,61327,51106,0,15332,623274
Name2460,83,Salaried,PAN2460X,Aadhar2460,BankAcc2460,Single,Yes,1810188,0,362038,0,0,144815,126713,217223,0,90509,54306,1922400
Name2461,92,Business,PAN2461X,Aadhar2461,BankAcc2461,Single,Yes,320855,0,64171,16043,48128,25668,22460,38503,32086,16043,9626,433067
Name2462,20,Business,PAN2462X,Aadhar2462,BankAcc2462,Married,No,233530,23353,46706,11676,35030,18682,16347,28024,23353,11676,7006,345742
Name2463,58,Business,PAN2463X,Aadhar2463,BankAcc2463,Single,No,898637,89864,179727,0,0,71891,62905,107836,89864,44932,26959,1010849
Name2464,45,Self-employed,PAN2464X,Aadhar2464,BankAcc2464,Married,No,878629,87863,0,0,0,0,0,105435,0,43931,26359,990841
Name2465,22,Self-employed,PAN2465X,Aadhar2465,BankAcc2465,Single,Yes,273860,27386,54772,13693,41079,21909,19170,32863,27386,13693,8216,386072
Name2466,33,Business,PAN2466X,Aadhar2466,BankAcc2466,Single,No,1112922,111292,222584,0,166938,89034,77905,0,0,55646,33388,1225134
Name2467,25,Salaried,PAN2467X,Aadhar2467,BankAcc2467,Single,Yes,1492327,149233,298465,74616,0,119386,104463,179079,0,,44770,1604539
Name2468,61,Self-employed,PAN2468X,Aadhar2468,BankAcc2468,Married,No,1426524,142652,285305,71326,0,114122,99857,171183,142652,71326,42796,1538736
Name2469,43,Self-employed,PAN2469X,Aadhar2469,BankAcc2469,Married,No,1055646,105565,211129,,158347,84452,73895,126678,105565,52782,31669,1167858
Name2470,49,Salaried,PAN2470X,Aadhar2470,BankAcc2470,Married,No,1921676,0,384335,96084,288251,153734,134517,230601,0,96084,57650,2033888
Name2471,46,Salaried,PAN2471X,Aadhar2471,BankAcc2471,Married,No,649865,64986,129973,0,0,51989,45491,77984,64986,32493,19496,762077
Name2472,68,Self-employed,PAN2472X,Aadhar2472,BankAcc2472,Married,No,1530062,153006,0,76503,229509,122405,107104,183607,,76503,45902,1642274
Name2473,86,Salaried,PAN2473X,Aadhar2473,BankAcc2473,Single,Yes,1128054,112805,225611,0,169208,90244,78964,135366,112805,56403,33842,1240266
Name2474,75,Self-employed,PAN2474X,Aadhar2474,BankAcc2474,Married,No,1489635,148964,297927,74482,223445,0,104274,178756,148964,74482,44689,1601847
Name2475,49,Business,PAN2475X,Aadhar2475,BankAcc2475,Married,No,1192734,119273,0,0,178910,95419,83491,143128,119273,59637,35782,1304946
Name2476,56,Self-employed,PAN2476X,Aadhar2476,BankAcc2476,Married,Yes,1878016,0,375603,93901,281702,150241,0,225362,187802,93901,0,1990228
Name2477,63,Self-employed,PAN2477X,Aadhar2477,BankAcc2477,Single,Yes,746266,74627,149253,37313,111940,59701,52239,89552,74627,37313,22388,858478
Name2478,34,Business,PAN2478X,Aadhar2478,BankAcc2478,Married,Yes,1234137,123414,246827,61707,185121,98731,0,148096,0,61707,37024,1346349
Name2479,78,Salaried,PAN2479X,Aadhar2479,BankAcc2479,Single,No,1370317,137032,274063,68516,205548,109625,95922,164438,0,68516,41110,1482529
Name2480,68,Salaried,PAN2480X,Aadhar2480,BankAcc2480,Married,No,881557,0,176311,44078,132234,70525,61709,105787,88156,44078,26447,993769
Name2481,35,Self-employed,PAN2481X,Aadhar2481,BankAcc2481,Married,No,1898770,189877,379754,0,284816,151902,132914,227852,189877,0,56963,2010982
Name2482,92,Business,PAN2482X,Aadhar2482,BankAcc2482,Married,Yes,1408398,140840,281680,70420,211260,112672,98588,169008,140840,70420,42252,1520610
Name2483,50,Salaried,PAN2483X,Aadhar2483,BankAcc2483,Married,Yes,446636,44664,0,0,66995,35731,0,53596,44664,22332,13399,558848
Name2484,99,Business,PAN2484X,Aadhar2484,BankAcc2484,Single,Yes,1796244,0,359249,89812,269437,143700,0,0,0,89812,53887,1908456
Name2485,38,Salaried,PAN2485X,Aadhar2485,BankAcc2485,Married,No,1728212,172821,0,86411,0,0,120975,207385,0,86411,51846,1840424
Name2486,94,Self-employed,PAN2486X,Aadhar2486,BankAcc2486,Single,Yes,706637,0,141327,35332,105996,56531,49465,84796,70664,0,0,818849
Name2487,73,Business,PAN2487X,Aadhar2487,BankAcc2487,Married,No,704539,70454,0,35227,105681,56363,0,84545,0,35227,21136,816751
Name2488,46,Self-employed,PAN2488X,Aadhar2488,BankAcc2488,Single,Yes,809155,80916,161831,40458,121373,64732,56641,0,80916,40458,24275,921367
Name2489,33,Salaried,PAN2489X,Aadhar2489,BankAcc2489,Single,No,106789,10679,0,5339,16018,8543,7475,12815,10679,5339,3204,219001
Name2490,67,Salaried,PAN2490X,Aadhar2490,BankAcc2490,Single,Yes,1722692,172269,344538,86135,0,137815,120588,0,172269,86135,51681,1834904
Name2491,93,Self-employed,PAN2491X,Aadhar2491,BankAcc2491,Single,Yes,213578,21358,42716,0,32037,17086,14950,25629,0,10679,6407,325790
Name2492,96,Business,PAN2492X,Aadhar2492,BankAcc2492,Single,Yes,1984103,198410,396821,99205,297615,158728,138887,0,0,99205,59523,2096315
Name2493,64,Salaried,PAN2493X,Aadhar2493,BankAcc2493,Married,Yes,1927352,192735,0,96368,289103,0,134915,231282,0,96368,57821,2039564
Name2494,53,Salaried,PAN2494X,Aadhar2494,BankAcc2494,Single,Yes,1044413,104441,0,52221,156662,83553,73109,0,104441,52221,31332,1156625
Name2495,76,Salaried,PAN2495X,Aadhar2495,BankAcc2495,Single,Yes,883496,0,176699,0,132524,70680,0,106020,88350,44175,26505,995708
Name2496,95,Self-employed,PAN2496X,Aadhar2496,BankAcc2496,Single,No,730519,73052,0,36526,109578,0,51136,87662,0,36526,21916,842731
Name2497,89,Salaried,PAN2497X,Aadhar2497,BankAcc2497,Married,No,266202,26620,53240,13310,39930,0,18634,0,,13310,7986,378414
Name2498,100,Business,PAN2498X,Aadhar2498,BankAcc2498,Single,No,518595,51860,103719,25930,77789,41488,0,62231,51860,25930,15558,630807
Name2499,28,Self-employed,PAN2499X,Aadhar2499,BankAcc2499,Single,Yes,362877,0,0,0,54432,29030,0,43545,36288,18144,10886,475089
Name2500,54,Business,PAN2500X,Aadhar2500,BankAcc2500,Married,Yes,1325953,132595,0,66298,198893,106076,92817,159114,132595,66298,39779,1438165
Name2501,36,Business,PAN2501X,Aadhar2501,BankAcc2501,Single,No,1003828,100383,200766,50191,0,0,70268,120459,100383,50191,30115,1116040
Name2502,67,Self-employed,PAN2502X,Aadhar2502,BankAcc2502,Married,Yes,1685701,168570,337140,84285,0,0,0,,0,84285,50571,1797913
Name2503,21,Salaried,PAN2503X,Aadhar2503,BankAcc2503,Married,No,1573991,0,314798,0,236099,125919,110179,188879,157399,78700,0,1686203
Name2504,79,Salaried,PAN2504X,Aadhar2504,BankAcc2504,Married,Yes,973877,97388,0,48694,146082,0,68171,116865,97388,48694,29216,1086089
Name2505,63,Salaried,PAN2505X,Aadhar2505,BankAcc2505,Single,Yes,49215,4922,9843,2461,7382,3937,3445,5906,4922,2461,0,161427
Name2506,25,Salaried,PAN2506X,Aadhar2506,BankAcc2506,Single,No,1234030,123403,246806,61702,185104,98722,86382,148084,0,61702,0,1346242
Name2507,29,Self-employed,PAN2507X,Aadhar2507,BankAcc2507,Single,No,1433488,143349,0,0,0,0,0,172019,143349,71674,43005,1545700
Name2508,66,Self-employed,PAN2508X,Aadhar2508,BankAcc2508,Single,Yes,1470014,0,294003,0,220502,117601,102901,0,147001,73501,44100,1582226
Name2509,57,Salaried,PAN2509X,Aadhar2509,BankAcc2509,Married,Yes,1750750,175075,,0,262612,140060,122553,210090,175075,87538,52522,1862962
Name2510,20,Business,PAN2510X,Aadhar2510,BankAcc2510,Single,Yes,1792592,179259,358518,0,268889,143407,125481,215111,179259,0,53778,1904804
Name2511,73,Salaried,PAN2511X,Aadhar2511,BankAcc2511,Single,No,601079,60108,120216,0,90162,48086,0,72129,0,30054,18032,713291
Name2512,96,Self-employed,PAN2512X,Aadhar2512,BankAcc2512,Married,Yes,1203699,120370,240740,60185,0,96296,0,144444,0,60185,36111,1315911
Name2513,86,Salaried,PAN2513X,Aadhar2513,BankAcc2513,Married,No,705698,70570,0,0,105855,56456,49399,84684,70570,35285,21171,817910
Name2514,61,Business,PAN2514X,Aadhar2514,BankAcc2514,Married,No,1620219,162022,324044,0,243033,129618,113415,194426,162022,81011,48607,1732431
Name2515,41,Salaried,PAN2515X,Aadhar2515,BankAcc2515,Married,No,928517,92852,185703,46426,139278,74281,64996,111422,0,0,27856,1040729
Name2516,48,Self-employed,PAN2516X,Aadhar2516,BankAcc2516,Single,No,265282,26528,0,13264,39792,21223,18570,31834,26528,13264,7958,377494
